Player Name,Salary,Position,Age,Team,GP,MP,PTS,AST,TRB,WS,PER,USG%,BPM,VORP,log_salary,salary_per_WS,pts_per_dollar,PER_salary_ratio,IF_label,IF_score,LOF_label,LOF_score
Cam Reddish,5954454,SF,23,NYK/POR,40,24.8,9.7,1.4,2.2,0.9,10.6,17.1,-3.4,-0.4,15.599650068910536,3133923.157894737,1.6290326535396862,1.7801800131464613,1,0.12041420217632998,1,-0.9734256048752308
Cameron Johnson,5887899,PF,26,BRK/PHO,42,28.5,15.5,1.9,4.4,3.5,17.1,20.6,2.6,1.4,15.588409785711116,1308422.0,2.6325179830700223,2.9042617748707986,1,0.0794520124421152,1,-1.0602206307384308
Ricky Rubio,5853659,PG,32,CLE,33,17.2,5.2,3.5,2.1,0.7,10.4,17.7,-2.8,-0.1,15.582577493768621,3443328.823529412,0.88833326300695,1.7766665260139,1,0.09247309037768037,1,-0.9954491127286966
Killian Hayes,5837760,PG,21,DET,76,28.3,10.3,6.2,2.9,-0.5,10.2,20.5,-3.8,-1.0,15.579857719581991,3891840.0,1.7643753768568766,1.7472455188291398,1,0.029252695486478297,-1,-1.413793400471262
Jonathan Kuminga,5739840,PF,20,GSW,67,20.8,9.9,1.9,3.4,2.4,13.3,19.6,-1.7,0.1,15.562941893342787,1688188.2352941176,1.7247867536377322,2.3171377599375593,1,0.12922410016293961,1,-0.9727942851358158
Pat Connaughton,5728393,SF,30,MIL,61,23.7,7.6,1.3,4.6,2.5,10.0,13.8,-1.0,0.3,15.560945595604233,1636683.7142857143,1.3267246154375232,1.7456902834704253,1,0.118374062561456,1,-1.0022490508035216
Tyler Herro,5722116,SG,23,MIA,67,34.9,20.1,4.2,5.4,3.5,15.3,25.6,0.6,1.6,15.559849225018652,1271581.3333333333,3.51268656559916,2.6738360424710024,1,0.058160769769347864,1,-1.1024518443390723
Romeo Langford,5634257,SG,23,SAS,43,19.6,6.9,1.2,2.7,0.5,10.4,15.4,-4.2,-0.5,15.544375842281525,3756171.3333333335,1.2246512716761058,1.8458511920915217,1,0.10734129567582651,1,-0.9928604178038658
Dyson Daniels,5508600,PG,19,NOP,59,17.7,3.8,2.3,3.2,1.3,8.8,11.6,-1.8,0.0,15.521821065359847,2395043.4782608696,0.6898304469375158,1.5975020876447736,1,0.10037929590670785,1,-1.0393956069855865
Obi Toppin,5348280,PF,24,NYK,67,15.7,7.4,1.0,2.8,2.1,13.6,19.5,-0.5,0.4,15.492285571854385,1725251.6129032257,1.3836223982289635,2.542873596745122,1,0.12239269998227209,1,-0.9781098364865999
Franz Wagner,5258280,SF,21,ORL,80,32.6,18.6,3.5,4.1,5.4,15.9,23.5,-0.1,1.3,15.47531453504126,821606.25,3.5372783495743856,3.0238024601200393,1,0.06494812625998725,1,-1.1196707086772122
Kendrick Nunn,5250000,SG,27,LAL/WAS,70,13.8,7.1,1.3,1.6,0.2,11.1,23.7,-3.5,-0.4,15.473738634567807,4375000.0,1.3523809523809522,2.1142857142857143,1,0.08470811480408125,1,-1.0590072129103558
Hamidou Diallo,5200000,SF,24,DET,56,17.8,9.3,1.0,3.5,1.3,15.7,21.8,-1.4,0.1,15.464169183551656,2260869.5652173916,1.7884615384615385,3.019230769230769,1,0.11476561502958721,1,-1.0359375911639486
Cory Joseph,5155500,PG,31,DET,62,19.8,6.9,3.5,1.7,1.8,12.1,15.2,-1.5,0.2,15.455574663940135,1841250.0000000002,1.3383764911259821,2.3470080496557073,1,0.11053643273216612,1,-1.0278079118410863
Torrey Craig,5121951,PF,32,PHO,79,24.7,7.4,1.5,5.4,4.0,11.6,13.0,-0.6,0.7,15.44904597912029,1024390.2,1.444761966680275,2.2647620018231334,1,0.10793502698435042,1,-1.017572929942929
Jeremy Sochan,5063520,PF,19,SAS,56,26.0,11.0,2.5,5.3,0.2,11.4,19.8,-4.0,-0.7,15.437572451583746,4219600.0,2.172401807438304,2.2513982367996968,1,0.07719793128173985,1,-1.1280241337328607
Nickeil Alexander-Walker,5009633,SG,24,MIN/UTA,59,15.0,6.2,1.8,1.7,1.1,11.6,17.9,-0.9,0.2,15.426873216884866,2385539.523809524,1.2376156097662245,2.31553888278842,1,0.11838187806584216,1,-0.9768645014180628
Deni Avdija,4916160,SF,22,WAS,76,26.6,9.2,2.8,6.4,2.3,11.2,16.7,-2.3,-0.1,15.408038295924433,1489745.4545454546,1.8713792878994988,2.2782008722254767,1,0.10819976520202412,1,-1.067034054019485
Davion Mitchell,4833600,PG,24,SAC,80,18.1,5.6,2.3,1.3,1.5,9.4,14.1,-2.8,-0.3,15.391102089614545,1933440.0,1.1585567692816947,1.9447202912942736,1,0.0993928649873666,1,-0.9820989068668616
Ty Jerome,4728948,SG,25,GSW,45,18.1,6.9,3.0,1.7,2.1,12.8,14.9,-0.8,0.3,15.369213325583319,1525467.0967741935,1.4590983026246007,2.706733083129694,1,0.11690061610455493,1,-0.999321080918952
Jalen Smith,4670160,C,22,IND,68,18.8,9.4,1.0,5.8,2.3,15.9,21.0,-2.1,0.0,15.356703890300148,1415200.0,2.012779005430221,3.4045942751426077,1,0.10997781939115248,1,-1.0962167761623614
Ziaire Williams,4591680,SF,21,MEM,37,15.2,5.7,0.9,2.1,0.1,7.4,18.0,-5.6,-0.5,15.339756528142178,4174254.545454545,1.2413757056240853,1.611610565196181,1,0.06755009433099862,1,-1.0786617329220305
Ousmane Dieng,4569840,PF,19,OKC,39,14.6,4.9,1.2,2.7,0.4,9.3,15.9,-3.6,-0.2,15.33498875131657,3264171.4285714286,1.0722476060431,2.035082191061394,1,0.10242187621220994,1,-0.9933728826191084
Jeff Green,4500000,PF,36,DEN,56,19.5,7.8,1.2,2.6,1.7,11.0,17.0,-3.4,-0.4,15.319587954740548,1666666.6666666665,1.7333333333333334,2.4444444444444446,1,0.12516876946225308,1,-0.9606916162559758
Donte DiVincenzo,4500000,SG,26,GSW,72,26.3,9.4,3.5,4.5,4.2,12.8,15.1,0.7,1.3,15.319587954740548,865384.6153846154,2.088888888888889,2.8444444444444446,1,0.09877938887326088,1,-1.045096100202699
Devin Vassell,4437000,SG,22,SAS,38,31.0,18.5,3.6,3.9,1.2,15.5,24.4,0.4,0.7,15.305489030361047,2016818.1818181816,4.169483885508226,3.493351363533919,1,0.05543538576597945,1,-1.197994594205305
Matisse Thybulle,4379526,SF-SG,25,PHI/POR,71,16.9,4.1,0.7,2.0,2.1,10.5,10.6,-0.5,0.4,15.292451057318429,1412750.322580645,0.936174371381743,2.3975197315873906,1,0.09262027001438328,1,-1.004018650864001
Jarred Vanderbilt,4374000,PF,23,LAL/UTA,78,24.1,7.9,2.4,7.5,5.2,15.1,13.6,1.1,1.5,15.29118848021885,705483.8709677419,1.8061271147690903,3.452217649748514,1,0.0769089104715534,1,-1.106678735465928
James Bouknight,4362240,SG,22,CHO,34,15.1,5.6,1.2,2.1,-0.4,6.2,19.5,-6.5,-0.6,15.28849624486287,3115885.7142857146,1.283744131455399,1.4212881455399062,1,0.045952254474298515,1,-1.1510615851621946
Brandon Clarke,4343919,PF,26,MEM,56,19.5,10.0,1.3,5.5,4.5,20.0,17.7,2.5,1.3,15.284287494013222,789803.4545454546,2.302068708003073,4.604137416006146,1,0.06757580916214334,1,-1.138716153360068
Jalen Williams,4341480,SG,21,OKC,75,30.3,14.1,3.3,4.5,5.6,15.6,18.4,0.3,1.3,15.283725861769474,657800.0,3.2477404018905998,3.5932446999640675,1,0.08399786585818231,1,-1.09990134527539
