Player Name,season,Team,Position,Age,Salary,fair_salary,residual_dollars,residual_pct,PTS,AST,TRB,WS,PER,VORP,IF_label,IF_score,LOF_label,LOF_score
DeAndre Jordan,2021-22,2TM,C,33.0,374126,2771792.826976494,-2397666.826976494,-0.021328898775744072,4.3,0.4,5.5,1.9,17.2,0.1,1,0.017517600034178904,1,-1.072410279554303
Jaylen Brown,2019-20,BOS,SG,23.0,6534829,8936159.732505297,-2401330.7325052973,-0.022002297347492192,20.3,2.1,6.4,4.9,16.9,1.4,1,0.07454225471714587,1,-1.0172850061837648
Austin Rivers,2019-20,HOU,SG,27.0,2147317,4553522.372172596,-2406205.372172596,-0.022046961445598274,8.8,1.7,2.6,2.4,10.4,-0.2,1,0.10457844459745935,1,-0.9712648562857256
Mason Plumlee,2021-22,CHO,C,31.0,9248333,11654961.45754236,-2406628.45754236,-0.021408618655526526,6.5,3.1,7.7,4.7,14.7,0.9,1,0.052332827269147286,1,-1.046022949715709
Jabari Walker,2022-23,POR,PF,20.0,1017781,3427223.406974838,-2409442.406974838,-0.019485200007883535,3.9,0.6,2.3,0.2,9.6,-0.6,1,0.03476349387295524,1,-1.0326708333212578
Pat Connaughton,2021-22,MIL,SF,29.0,5333334,7745609.642404236,-2412275.642404236,-0.021458854256624943,9.9,1.3,4.2,4.4,13.4,1.4,1,0.07419190482500893,1,-1.007032145408707
Ryan Rollins,2024-25,MIL,PG,22.0,491887,2905204.6286426983,-2413317.6286426983,-0.017165886339109298,6.2,1.9,1.9,1.7,14.0,0.3,1,0.08389246279520812,1,-1.0234081072761163
Shake Milton,2021-22,PHI,SG,25.0,1846738,4270772.203745931,-2424034.2037459314,-0.021563454763160562,8.2,2.5,2.6,1.7,11.9,-0.1,1,0.11108551403013123,1,-0.9817431288586315
Brad Wanamaker,2020-21,2TM,PG,31.0,2250000,4676763.232163451,-2426763.2321634507,-0.022235323732485348,5.5,2.9,1.7,0.9,9.5,-0.5,1,0.053006534966001495,1,-1.0368856694330795
Justin Holiday,2023-24,DEN,SG,34.0,2019706,4449588.87267826,-2429882.8726782603,-0.0178640274125191,4.0,1.2,1.2,1.8,9.7,0.1,1,0.02483441021912558,1,-1.0969773850692452
OG Anunoby,2020-21,TOR,SF,23.0,3872215,6305736.399712531,-2433521.399712531,-0.022297245736783315,15.9,2.2,5.5,3.1,15.4,1.2,1,0.05808086622771513,1,-1.1031756929258372
Trey Lyles,2021-22,2TM,PF,26.0,2500000,4937221.811516348,-2437221.8115163483,-0.021680767622505637,10.5,1.2,5.1,3.5,16.4,0.7,1,0.10010375974953589,1,-0.9960370130843682
Will Barton,2020-21,DEN,SF,30.0,13723214,16163768.366516659,-2440554.366516659,-0.022361685601215486,12.7,3.2,4.0,2.2,11.8,0.1,1,0.0932169851760577,1,-1.0217686886369939
Kyle Lowry,2024-25,PHI,PG,38.0,2087519,4530348.878625648,-2442829.878625648,-0.017375806460193245,3.9,2.7,1.9,1.0,9.8,0.1,-1,-0.008024068227817427,-1,-1.2324895116604973
Ky Bowman,2019-20,GSW,PG,22.0,350189,2795326.4522597184,-2445137.4522597184,-0.022403678323801707,7.4,2.9,2.7,-0.1,9.1,-0.6,1,0.05652845314358723,1,-1.014259667481
Jalen Williams,2023-24,OKC,PF,22.0,4558680,7009937.126590498,-2451257.126590498,-0.018021166780059675,19.1,4.5,4.0,7.3,19.1,2.4,1,0.059106331907055776,1,-1.053153064200857
Caleb Martin,2021-22,MIA,SF,26.0,1782621,4238400.65141538,-2455779.6514153797,-0.021845852397525036,9.2,1.1,3.8,4.0,14.8,1.1,1,0.09827152575225034,1,-1.0064882171649676
Dennis Schröder,2024-25,3TM,PG,31.0,13025250,15481622.328124516,-2456372.3281245157,-0.017472133668055,13.1,5.4,2.6,3.2,12.7,-0.1,1,0.06512493952099824,1,-0.9893509278667876
Herbert Jones,2021-22,NOP,PF,23.0,1700000,4164120.205222213,-2464120.205222213,-0.021920047371521457,9.5,2.1,3.8,4.6,12.3,0.9,1,0.0601848638035134,1,-1.1677975099611646
Luguentz Dort,2020-21,OKC,SG,21.0,1517981,3986017.990579803,-2468036.990579803,-0.02261349634029506,14.0,1.7,3.6,0.3,10.1,-0.6,1,0.08429843994485642,1,-1.0070587074342383
Franz Wagner,2023-24,ORL,SF,22.0,5508720,7981695.86058925,-2472975.86058925,-0.018180838698357238,19.7,3.7,5.3,6.4,17.6,1.9,1,0.06814971900052674,1,-1.0096067773898423
Jared McCain,2024-25,PHI,SG,20.0,4032240,6510349.998652682,-2478109.9986526817,-0.01762675334063136,15.3,2.6,2.4,0.7,15.2,0.3,1,0.06017731931358683,1,-1.1558911418218671
Kel'el Ware,2024-25,MIA,C,20.0,4231800,6732419.150261329,-2500619.1502613286,-0.017786860544721655,9.3,0.9,7.4,4.1,17.4,0.7,1,0.07578938539044877,1,-0.9886979520939875
Marcus Smart,2023-24,MEM,PG,29.0,18833712,21342196.061924193,-2508484.061924193,-0.01844188810495581,14.5,4.3,2.7,0.2,11.8,0.0,-1,-0.03197392334132121,-1,-1.4430964715472894
Trendon Watford,2021-22,POR,SF,21.0,436482,2946405.8672875767,-2509923.8672875767,-0.022327502511142534,7.6,1.7,4.1,1.9,15.8,0.1,1,0.09567093706757063,1,-1.079896154326104
Monte Morris,2019-20,DEN,PG,24.0,1588231,4099248.756518069,-2511017.756518069,-0.02300730947881683,9.0,3.5,1.9,3.8,14.9,0.7,1,0.09390562190927204,1,-0.9999204698164135
KJ Martin,2020-21,HOU,SF,20.0,898310,3414692.1408937112,-2516382.1408937112,-0.023056460884127827,9.3,1.1,5.4,2.2,14.6,0.0,1,0.07142404889251958,1,-1.1432639565946459
Luguentz Dort,2019-20,OKC,SF,20.0,155647,2677749.827052865,-2522102.827052865,-0.023108876920037248,6.8,0.8,2.3,0.8,7.6,-0.4,1,0.03281515801160917,1,-1.1130647101589823
Marc Gasol,2020-21,LAL,C,36.0,2564753,5090678.217706649,-2525925.2177066486,-0.023143899740760938,5.0,2.1,4.1,2.8,12.2,1.1,1,0.01677683401469854,1,-1.1397655406827236
Myles Turner,2023-24,IND,C,27.0,20975000,23502403.6727275,-2527403.672727499,-0.01858098141263112,17.1,1.3,6.9,5.8,19.3,1.5,1,0.03271258557987733,1,-1.0276899388596414
Treveon Graham,2019-20,2TM,SF,26.0,1645357,4174510.4141880926,-2529153.4141880926,-0.023173478231520002,4.4,0.8,2.7,0.2,6.6,-0.8,1,0.034814482579526795,1,-1.026029451310457
Kevin Huerter,2020-21,ATL,SG,22.0,2761920,5299300.347762087,-2537380.3477620874,-0.023248857868445005,11.9,3.5,3.3,3.6,12.2,1.0,1,0.09968770061945348,1,-1.0377251204289226
Jarrett Allen,2023-24,CLE,C,25.0,20000000,22555407.54122846,-2555407.5412284583,-0.0187868604202914,16.5,2.7,10.5,10.7,21.8,3.1,-1,-7.984134589034131e-05,1,-1.0108214965290776
Domantas Sabonis,2019-20,IND,PF,23.0,3529555,6104106.468848301,-2574551.468848301,-0.023589439883162006,18.5,5.0,12.4,7.5,20.7,2.9,1,0.012769855420300902,1,-1.072635942028872
Daniel Theis,2020-21,2TM,C,28.0,5000000,7581772.306877089,-2581772.3068770887,-0.02365560112586667,9.6,1.7,5.5,4.3,15.0,0.8,1,0.09944134281618,1,-0.9802236847064834
Amir Coffey,2024-25,LAC,SG,27.0,3938271,6527889.02910578,-2589618.0291057797,-0.0184199080227742,9.7,1.1,2.2,4.0,11.2,0.1,1,0.09548153860425329,1,-0.9860567547938033
Giannis Antetokounmpo,2019-20,MIL,PF,25.0,25842697,28434106.381078754,-2591409.3810787536,-0.023743901237664955,29.5,5.6,13.6,11.1,31.9,6.6,-1,-0.1262697706060133,1,-1.1552560442907711
Luke Kennard,2019-20,DET,SG,23.0,3827160,6421503.664561476,-2594343.6645614756,-0.02377078673778152,15.8,4.1,3.5,1.9,14.4,0.4,1,0.07158834901672345,1,-1.136448836619329
Jalen McDaniels,2022-23,2TM,SF,25.0,1930681,4528618.290001615,-2597937.290001615,-0.021009561198508876,9.4,1.6,4.3,2.7,11.8,-0.1,1,0.10139019252513887,1,-0.978885672273426
Alperen Şengün,2024-25,HOU,C,22.0,5424654,8032363.214761366,-2607709.214761366,-0.018548590311842875,19.1,4.9,10.3,8.3,21.4,3.9,-1,-0.017261114807827327,1,-1.0511635643243231
Vince Williams Jr.,2024-25,MEM,SG,24.0,2120693,4728421.514029657,-2607728.5140296565,-0.01854872758720272,6.6,2.0,3.6,0.4,9.2,-0.1,1,0.08177331528351456,1,-1.1442410340214382
Tristan Thompson,2023-24,CLE,C,32.0,2019796,4632533.6893238975,-2612737.6893238975,-0.019208340545385623,3.3,1.0,3.6,1.4,13.9,0.1,1,0.039584125572250495,1,-1.0002442107855447
D.J. Augustin,2021-22,2TM,PG,34.0,393312,3007929.8269965765,-2614617.8269965765,-0.023258827432495743,5.3,1.9,1.2,0.8,9.7,-0.4,1,0.021155198363555006,1,-1.1037930952947144
Wesley Matthews,2019-20,MIL,SG,33.0,2564753,5181101.249667905,-2616348.2496679053,-0.023972404706504535,7.4,1.4,2.5,3.2,8.1,0.1,1,0.05872746192667416,1,-1.0593982574325034
Jevon Carter,2022-23,MIL,PG,27.0,2100000,4734438.433483548,-2634438.4334835485,-0.021304746540645736,8.0,2.4,2.5,3.5,10.9,0.6,1,0.09179251116852372,1,-0.9679381498942424
Vince Williams Jr.,2023-24,MEM,SG,23.0,2232308,4870474.155494989,-2638166.155494989,-0.019395285694819103,10.0,3.4,5.6,2.8,12.8,0.5,1,0.09492422755291174,1,-1.177458286082116
Bam Adebayo,2019-20,MIA,PF,22.0,3454080,6096265.135131968,-2642185.135131968,-0.024209136294044052,15.9,5.1,10.2,8.5,20.3,3.3,-1,-0.003672284461014086,1,-1.0985709230870881
Solomon Hill,2020-21,ATL,PF,29.0,1620564,4269370.391813065,-2648806.391813065,-0.024269803846555478,4.5,1.1,3.0,1.3,6.7,-0.2,1,0.05586476994384326,1,-1.0426122226748589
Yves Missi,2024-25,NOP,C,20.0,3202560,5854204.169533415,-2651644.1695334148,-0.01886109888136551,9.1,1.4,8.2,3.6,15.4,-0.5,1,0.05149935082835089,1,-1.0306381556396276
Eric Gordon,2024-25,PHI,SG,36.0,3303771,5962543.777678701,-2658772.777678701,-0.018911804547178286,6.8,1.7,1.2,0.9,10.8,0.1,1,0.042651417643844225,1,-1.0867348017972638
James Ennis III,2019-20,2TM,SG,29.0,1882867,4544898.527688291,-2662031.527688291,-0.024390979729597678,6.6,0.9,3.6,2.4,11.5,-0.2,1,0.10142849233113349,1,-1.0393416326539167
Jordan Goodwin,2022-23,WAS,PG,24.0,900000,3571861.387506709,-2671861.387506709,-0.021607386579650712,6.6,2.7,3.3,2.2,14.8,0.8,1,0.08648800743777357,1,-0.9970338668326061
Kyle Anderson,2020-21,MEM,PF,27.0,9505100,12178329.033984682,-2673229.0339846816,-0.02449357736837715,12.4,3.6,5.7,5.6,17.2,2.5,1,0.07669805441526367,1,-1.0120508762318585
Thaddeus Young,2020-21,CHI,PF,32.0,13545000,16222834.59905586,-2677834.59905586,-0.02453577605878561,12.1,4.3,6.2,5.1,20.3,2.2,1,0.044398468376053934,1,-1.1555615318860435
Keon Johnson,2024-25,BRK,SG,22.0,2162606,4840932.57748293,-2678326.5774829304,-0.01905089038525998,10.6,2.2,3.8,0.5,10.4,-0.6,1,0.08025134859106359,1,-1.061502017074533
Javonte Green,2021-22,CHI,SF,28.0,1669178,4349312.175043438,-2680134.1750434376,-0.023841640498900828,7.2,0.9,4.2,4.4,14.0,0.8,1,0.0646431169050452,1,-1.0255043952078677
Mitchell Robinson,2020-21,NYK,C,22.0,1663861,4348459.577340084,-2684598.577340084,-0.024597751304197214,8.3,0.5,8.1,3.4,17.7,0.7,1,0.01433844220167435,1,-1.156273725660357
Jose Alvarado,2023-24,NOP,PG,25.0,1836096,4526828.925012112,-2690732.9250121117,-0.01978174638483846,7.1,2.1,2.3,2.1,12.5,0.5,1,0.09033716353563581,1,-1.010167608426107
Cedi Osman,2019-20,CLE,SF,24.0,2907143,5600589.924306901,-2693446.924306901,-0.02467882466837916,11.0,2.4,3.6,1.6,10.7,-0.3,1,0.1021358092429418,1,-0.9922804124823126
Max Strus,2021-22,MIA,SF,25.0,1669178,4387786.272195586,-2718608.272195586,-0.024183894107456243,10.6,1.4,3.0,3.6,12.7,1.2,1,0.08969268425075727,1,-1.0149400832654891
Delon Wright,2022-23,WAS,PG,30.0,7804878,10530638.177727722,-2725760.1777277216,-0.02204326697446704,7.4,3.9,3.6,3.7,16.3,1.7,1,0.004475321707869684,-1,-1.2156716667331158
Georges Niang,2020-21,UTA,PF,27.0,1783557,4509388.155843972,-2725831.155843972,-0.02497554659926674,6.9,0.8,2.4,2.6,11.4,0.5,1,0.08872670836442331,1,-0.9870316342554215
Jordan Poole,2021-22,GSW,SG,22.0,2161440,4898912.389450209,-2737472.389450209,-0.024351703430624382,18.5,4.0,3.4,6.0,16.1,1.7,1,0.06273399511635613,1,-0.982303956588224
