Player Name,Position,Age,Team,GP,GS,MP,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary,Total Minutes
Buddy Hield,SF,31.0,2TM,84.0,42.0,25.7,0.436,0.386,0.881,3.2,2.8,0.8,0.5,1.2,2.0,12.1,13.3,0.578,19.2,1.9,1.6,3.5,0.077,1.0,-0.6,0.4,1.3,19279841,2159.0
Cason Wallace,SG,20.0,OKC,82.0,13.0,20.6,0.491,0.419,0.784,2.3,1.5,0.9,0.5,0.5,1.6,6.8,12.0,0.612,12.9,1.9,2.1,4.0,0.115,-0.9,1.0,0.1,0.9,5291000,1689.0
Mikal Bridges,SF,27.0,BRK,82.0,82.0,34.8,0.436,0.372,0.814,4.5,3.6,1.0,0.4,2.0,1.4,19.6,14.9,0.56,24.3,2.1,2.1,4.2,0.07,0.7,-1.0,-0.4,1.2,21700000,2854.0
Jalen Green,SG,21.0,HOU,82.0,82.0,31.7,0.423,0.332,0.804,5.2,3.5,0.8,0.3,2.3,1.4,19.6,14.7,0.541,27.4,0.2,2.9,3.1,0.056,0.4,-0.9,-0.5,1.0,9891480,2599.0
Payton Pritchard,PG,26.0,BOS,82.0,5.0,22.3,0.468,0.385,0.821,3.2,3.4,0.5,0.1,0.7,1.3,9.6,15.3,0.597,17.2,4.2,1.9,6.1,0.16,1.3,-0.2,1.0,1.4,4037278,1829.0
Christian Braun,SG,22.0,DEN,82.0,4.0,20.2,0.46,0.384,0.694,3.7,1.6,0.5,0.4,0.7,1.7,7.3,12.1,0.554,15.7,1.5,2.0,3.4,0.1,-1.7,-0.2,-1.9,0.0,2949120,1656.0
Nickeil Alexander-Walker,SG,25.0,MIN,82.0,20.0,23.4,0.439,0.391,0.8,2.0,2.5,0.8,0.5,0.9,1.7,8.0,10.9,0.578,14.8,1.5,2.8,4.3,0.107,-1.1,1.3,0.2,1.1,4687500,1919.0
Paul Reed,C,24.0,PHI,82.0,24.0,19.4,0.54,0.368,0.718,6.0,1.3,0.8,1.0,0.8,2.4,7.3,17.4,0.58,15.9,2.5,2.6,5.1,0.154,-0.6,1.0,0.4,0.9,7723000,1591.0
Domantas Sabonis,C,27.0,SAC,82.0,82.0,35.7,0.594,0.379,0.704,13.7,8.2,0.9,0.6,3.3,3.0,19.4,23.2,0.637,22.2,8.6,4.0,12.6,0.206,4.0,2.4,6.5,6.2,30600000,2927.0
Austin Reaves,SG,25.0,LAL,82.0,57.0,32.1,0.486,0.367,0.853,4.3,5.5,0.8,0.3,2.1,1.9,15.9,15.5,0.613,20.3,3.9,2.0,5.9,0.108,0.9,-0.4,0.4,1.6,12015150,2632.0
Georges Niang,PF,30.0,CLE,82.0,10.0,22.3,0.449,0.376,0.85,3.4,1.2,0.4,0.2,0.9,2.3,9.4,9.9,0.583,17.6,0.5,2.0,2.4,0.064,-2.5,-0.4,-2.9,-0.4,8800000,1829.0
Bobby Portis,PF,28.0,MIL,82.0,4.0,24.5,0.508,0.407,0.79,7.4,1.3,0.8,0.4,1.1,2.3,13.8,17.5,0.581,22.9,2.1,2.6,4.7,0.112,0.0,-0.8,-0.8,0.6,11710818,2009.0
Chet Holmgren,C,21.0,OKC,82.0,82.0,29.4,0.53,0.37,0.793,7.9,2.4,0.6,2.3,1.6,2.4,16.5,20.4,0.632,21.6,4.6,4.4,8.9,0.178,1.8,1.5,3.4,3.3,10386000,2411.0
Harrison Barnes,PF,31.0,SAC,82.0,82.0,29.0,0.474,0.387,0.801,3.0,1.2,0.7,0.1,0.7,1.2,12.2,11.9,0.611,15.7,3.1,1.5,4.7,0.094,-0.6,-1.2,-1.8,0.1,17000000,2378.0
Reggie Jackson,PG,33.0,DEN,82.0,23.0,22.2,0.431,0.359,0.806,1.9,3.8,0.5,0.2,1.3,1.8,10.2,11.7,0.521,21.7,0.6,1.5,2.1,0.056,-1.8,-1.5,-3.2,-0.6,5000000,1820.0
Obi Toppin,PF,25.0,IND,82.0,28.0,21.1,0.573,0.403,0.77,3.9,1.6,0.6,0.5,0.8,1.7,10.3,16.5,0.677,16.8,3.6,1.1,4.8,0.132,1.8,-0.3,1.5,1.5,6803012,1730.0
Jonas Valančiūnas,C,31.0,NOP,82.0,82.0,23.5,0.559,0.308,0.785,8.8,2.1,0.4,0.8,1.4,2.7,12.2,19.8,0.619,20.8,3.9,3.1,7.1,0.177,0.7,0.5,1.2,1.6,15435000,1927.0
Josh Hart,SF,28.0,NYK,81.0,42.0,33.4,0.434,0.31,0.791,8.3,4.1,0.9,0.3,1.5,2.1,9.4,11.8,0.522,13.5,2.0,3.6,5.7,0.1,-1.3,1.4,0.0,1.4,12960000,2705.0
Donte DiVincenzo,SG,27.0,NYK,81.0,63.0,29.1,0.443,0.401,0.754,3.7,2.7,1.3,0.4,1.4,2.0,15.5,16.0,0.597,21.3,3.6,3.0,6.6,0.135,2.5,0.9,3.4,3.2,10960000,2357.0
Michael Porter Jr.,SF,25.0,DEN,81.0,81.0,31.7,0.484,0.397,0.836,7.0,1.5,0.5,0.7,1.1,1.8,16.7,15.5,0.601,20.7,3.1,3.1,6.2,0.115,1.2,-1.2,0.1,1.3,33386850,2568.0
