Player Name,Position,Age,Team,GP,GS,MP,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary,Total Minutes
Rui Hachimura,PF,24.0,2TM,63.0,9.0,23.3,0.486,0.319,0.739,4.5,0.9,0.3,0.4,0.8,1.1,11.2,13.2,0.556,20.2,0.6,1.3,1.8,0.06,-1.3,-1.0,-2.2,-0.1,6263188,1468.0
Kevin Knox,SF,23.0,2TM,63.0,5.0,15.1,0.458,0.349,0.767,2.8,0.5,0.4,0.2,0.8,1.5,6.6,11.1,0.579,18.4,0.2,0.5,0.7,0.034,-2.1,-1.4,-3.5,-0.4,5845979,951.0
Keldon Johnson,SF,23.0,SAS,63.0,63.0,32.7,0.452,0.329,0.749,5.0,2.9,0.7,0.2,2.1,2.0,22.0,15.3,0.551,27.9,0.7,0.5,1.3,0.03,0.7,-2.5,-1.8,0.1,3873025,2060.0
Terry Rozier,SG,28.0,CHO,63.0,63.0,35.3,0.415,0.327,0.809,4.1,5.1,1.2,0.3,2.1,1.9,21.1,14.7,0.517,26.9,0.1,1.6,1.7,0.037,0.6,-1.1,-0.6,0.8,21486283,2224.0
Giannis Antetokounmpo,PF,28.0,MIL,63.0,63.0,32.1,0.553,0.275,0.645,11.8,5.7,0.8,0.8,3.9,3.1,31.1,29.0,0.605,38.8,4.9,3.7,8.6,0.204,5.8,2.7,8.5,5.4,42492492,2022.0
Al Horford,C,36.0,BOS,63.0,63.0,30.5,0.476,0.446,0.714,6.2,3.0,0.5,1.0,0.6,1.9,9.8,13.8,0.631,11.9,3.6,2.7,6.3,0.157,1.6,1.7,3.3,2.5,26500000,1922.0
Jerami Grant,PF,28.0,POR,63.0,63.0,35.7,0.475,0.401,0.813,4.5,2.4,0.8,0.8,1.8,2.4,20.5,16.0,0.606,22.8,3.1,1.0,4.1,0.087,1.2,-1.4,-0.2,1.0,20955000,2249.0
Moses Moody,SG,20.0,GSW,63.0,3.0,13.0,0.476,0.363,0.698,1.7,0.8,0.3,0.1,0.5,0.9,4.8,10.3,0.603,14.6,0.7,0.6,1.3,0.076,-1.7,-0.9,-2.6,-0.1,3562200,819.0
Jaren Jackson Jr.,C,23.0,MEM,63.0,63.0,28.4,0.506,0.355,0.788,6.8,1.0,1.0,3.0,1.7,3.6,18.6,21.6,0.613,24.7,2.8,3.8,6.6,0.177,0.7,2.0,2.8,2.2,28946605,1789.0
Mike Muscala,C,31.0,2TM,63.0,9.0,15.0,0.449,0.391,0.769,3.2,0.8,0.2,0.4,0.4,1.6,6.1,13.0,0.608,15.1,1.4,1.1,2.5,0.128,-0.3,-0.1,-0.4,0.4,3500000,945.0
Aaron Holiday,PG,26.0,ATL,63.0,6.0,13.4,0.418,0.409,0.844,1.2,1.4,0.6,0.2,0.6,1.3,3.9,9.4,0.528,13.4,0.3,0.6,0.9,0.053,-2.9,0.9,-2.0,0.0,1836090,844.0
Anfernee Simons,SG,23.0,POR,62.0,62.0,35.0,0.447,0.377,0.894,2.6,4.1,0.7,0.2,2.1,2.3,21.1,14.8,0.581,25.1,2.1,0.3,2.5,0.054,1.3,-2.5,-1.1,0.5,22321429,2170.0
Michael Porter Jr.,SF,24.0,DEN,62.0,62.0,29.0,0.487,0.414,0.8,5.5,1.0,0.6,0.5,1.1,1.9,17.4,16.8,0.621,22.7,2.6,1.8,4.3,0.116,2.0,-1.8,0.2,1.0,30913750,1798.0
