Player Name,Position,Age,Team,GP,GS,MP,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary,Total Minutes
Dwight Powell,C,30.0,DAL,82.0,71.0,21.9,0.671,0.351,0.783,4.9,1.2,0.5,0.5,0.8,2.7,8.7,18.1,0.725,14.0,6.0,2.2,8.2,0.219,0.4,0.5,0.9,1.3,11080125,1796.0
Deni Avdija,SF,21.0,WAS,82.0,8.0,24.2,0.432,0.317,0.757,5.2,2.0,0.7,0.5,1.1,2.3,8.4,11.6,0.536,16.3,0.6,1.8,2.4,0.058,-2.1,0.4,-1.7,0.1,4692840,1984.0
Saddiq Bey,SF,22.0,DET,82.0,82.0,33.0,0.396,0.346,0.827,5.4,2.8,0.9,0.2,1.2,1.6,16.1,14.0,0.529,21.3,2.4,1.6,4.0,0.071,0.9,-1.2,-0.3,1.2,2824320,2706.0
Kevon Looney,C,25.0,GSW,82.0,80.0,21.1,0.571,0.0,0.6,7.3,2.0,0.6,0.6,0.8,2.6,6.0,15.7,0.586,12.2,3.5,3.2,6.8,0.187,-0.9,1.7,0.9,1.3,5178572,1730.0
Mikal Bridges,SF,25.0,PHO,82.0,82.0,34.8,0.534,0.369,0.834,4.2,2.3,1.2,0.4,0.8,1.8,14.2,14.4,0.627,15.0,5.2,3.7,8.9,0.15,0.5,1.1,1.6,2.6,5557725,2854.0
Alec Burks,SG,30.0,NYK,81.0,44.0,28.6,0.391,0.404,0.822,4.9,3.0,1.0,0.3,1.1,2.7,11.7,13.7,0.559,17.7,3.2,2.9,6.1,0.126,-0.4,1.2,0.8,1.7,9536000,2317.0
Buddy Hield,SG,29.0,2TM,81.0,32.0,30.9,0.406,0.366,0.874,4.4,2.8,0.9,0.3,1.9,2.3,15.6,12.9,0.548,22.4,0.8,1.1,1.9,0.036,0.5,-1.7,-1.2,0.5,22768890,2503.0
Patty Mills,SG,33.0,BRK,81.0,48.0,29.0,0.408,0.4,0.814,1.9,2.3,0.6,0.2,0.9,1.4,11.4,10.4,0.563,16.4,1.9,0.9,2.8,0.058,-0.3,-1.4,-1.7,0.2,5890000,2349.0
Terance Mann,SF,25.0,LAC,81.0,33.0,28.6,0.484,0.365,0.78,5.2,2.6,0.7,0.3,1.0,2.2,10.8,13.4,0.572,16.0,3.1,2.4,5.5,0.113,-0.8,0.2,-0.6,0.8,1782621,2317.0
Evan Fournier,SG,29.0,NYK,80.0,80.0,29.5,0.417,0.389,0.708,2.6,2.1,1.0,0.3,1.3,2.3,14.1,12.3,0.554,20.8,1.5,2.2,3.7,0.075,-0.4,-0.3,-0.7,0.7,17000000,2360.0
Dorian Finney-Smith,PF,28.0,DAL,80.0,80.0,33.1,0.471,0.395,0.675,4.7,1.9,1.1,0.5,1.0,2.3,11.0,12.5,0.604,13.8,3.4,3.2,6.6,0.121,0.1,0.7,0.8,1.9,4000000,2648.0
Miles Bridges,PF,23.0,CHO,80.0,80.0,35.5,0.491,0.331,0.802,7.0,3.8,0.9,0.8,1.9,2.4,20.2,17.9,0.593,22.6,5.0,2.3,7.2,0.123,1.8,-0.3,1.5,2.5,5421493,2840.0
Chris Boucher,SF,29.0,TOR,80.0,9.0,21.1,0.464,0.297,0.777,6.2,0.3,0.6,0.9,0.5,2.2,9.4,17.9,0.57,17.8,3.5,2.4,6.0,0.169,0.5,-0.4,0.1,0.9,7020000,1688.0
