Player Name,Position,Age,Team,GP,GS,MP,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary,Total Minutes
Maxi Kleber,PF,28.0,DAL,74.0,21.0,25.5,0.461,0.373,0.849,5.2,1.2,0.3,1.1,0.8,2.4,9.1,13.6,0.605,13.9,3.2,1.7,4.8,0.123,0.4,0.0,0.4,1.1,8000000,1887.0
Delon Wright,PG,27.0,DAL,73.0,5.0,21.5,0.462,0.37,0.77,3.8,3.3,1.2,0.3,1.0,1.3,6.9,15.4,0.554,14.4,2.6,1.8,4.4,0.134,0.0,1.9,1.9,1.5,9473684,1570.0
Justin Holiday,SF,30.0,IND,73.0,6.0,25.0,0.428,0.405,0.791,3.3,1.3,1.2,0.6,0.6,1.9,8.3,12.1,0.585,13.4,1.6,2.6,4.2,0.112,-0.5,1.8,1.3,1.5,4767000,1825.0
Monte Morris,PG,24.0,DEN,73.0,12.0,22.4,0.459,0.378,0.843,1.9,3.5,0.8,0.2,0.7,1.0,9.0,14.9,0.545,17.5,2.7,1.1,3.8,0.112,0.4,-0.5,-0.2,0.7,1588231,1635.0
Dillon Brooks,SG,24.0,MEM,73.0,73.0,28.9,0.407,0.358,0.808,3.3,2.1,0.9,0.4,1.7,3.8,16.2,11.3,0.51,25.2,-0.4,1.6,1.2,0.027,-2.7,-1.4,-4.1,-1.1,1618520,2110.0
Nikola Jokić,C,24.0,DEN,73.0,73.0,32.0,0.528,0.314,0.817,9.7,7.0,1.2,0.6,3.1,3.0,19.9,24.9,0.605,26.6,6.7,3.1,9.8,0.202,5.5,2.0,7.4,5.5,27504630,2336.0
Duncan Robinson,SG,25.0,MIA,73.0,68.0,29.7,0.47,0.446,0.931,3.2,1.4,0.5,0.3,1.0,2.6,13.5,13.1,0.684,16.0,3.7,1.6,5.3,0.118,1.5,-1.0,0.5,1.3,1416852,2168.0
Mikal Bridges,SF,23.0,PHO,73.0,32.0,28.0,0.51,0.361,0.844,4.0,1.8,1.4,0.6,1.0,2.2,9.1,12.9,0.62,12.7,2.5,2.3,4.8,0.113,-0.6,1.5,0.8,1.5,4161000,2044.0
Terence Davis,SG,22.0,TOR,72.0,4.0,16.8,0.456,0.388,0.864,3.3,1.6,0.5,0.2,1.1,1.7,7.5,13.8,0.588,19.0,1.2,1.9,3.1,0.122,0.1,0.7,0.8,0.8,898310,1210.0
P.J. Tucker,PF,34.0,HOU,72.0,72.0,34.3,0.415,0.358,0.813,6.6,1.6,1.1,0.5,1.0,3.2,6.9,8.3,0.559,8.7,1.6,2.4,4.0,0.078,-2.4,0.6,-1.9,0.1,8349039,2470.0
Cory Joseph,PG,28.0,SAC,72.0,26.0,24.4,0.415,0.352,0.857,2.6,3.5,0.7,0.3,1.1,1.8,6.4,10.1,0.517,12.9,1.2,1.1,2.3,0.062,-2.1,0.1,-2.0,0.0,12000000,1757.0
Ivica Zubac,C,22.0,LAC,72.0,70.0,18.4,0.613,0.0,0.747,7.5,1.1,0.2,0.9,0.8,2.3,8.3,21.7,0.651,16.4,4.4,2.3,6.6,0.241,1.9,0.9,2.8,1.6,6481482,1325.0
Nemanja Bjelica,PF,31.0,SAC,72.0,67.0,27.9,0.481,0.419,0.821,6.4,2.8,0.9,0.6,1.4,3.0,11.5,15.7,0.602,17.0,3.4,1.9,5.3,0.127,1.2,0.5,1.8,1.9,6825000,2009.0
Joe Ingles,PF,32.0,UTA,72.0,45.0,29.7,0.445,0.399,0.787,3.9,5.2,0.9,0.2,2.0,2.1,9.8,12.6,0.595,15.1,2.7,2.1,4.8,0.108,0.1,0.7,0.7,1.5,11954546,2138.0
Furkan Korkmaz,SG,22.0,PHI,72.0,12.0,21.7,0.43,0.402,0.755,2.3,1.1,0.6,0.2,0.8,1.4,9.8,12.0,0.579,18.4,1.4,1.4,2.8,0.085,-0.4,-1.0,-1.3,0.3,1620564,1562.0
Markelle Fultz,PG,21.0,ORL,72.0,60.0,27.7,0.465,0.267,0.73,3.3,5.1,1.3,0.2,2.0,2.0,12.1,14.3,0.517,21.4,0.6,2.0,2.7,0.065,-1.8,0.0,-1.8,0.1,9745200,1994.0
Bam Adebayo,PF,22.0,MIA,72.0,72.0,33.6,0.557,0.143,0.691,10.2,5.1,1.1,1.3,2.8,2.5,15.9,20.3,0.598,21.2,4.6,3.9,8.5,0.168,1.4,2.0,3.4,3.3,3454080,2419.0
Harrison Barnes,PF,27.0,SAC,72.0,72.0,34.5,0.46,0.381,0.801,4.9,2.2,0.6,0.2,1.2,1.3,14.5,13.3,0.574,17.4,3.4,1.1,4.6,0.088,0.0,-1.3,-1.3,0.5,24147727,2484.0
Buddy Hield,SG,27.0,SAC,72.0,44.0,30.8,0.429,0.394,0.846,4.6,3.0,0.9,0.2,2.3,2.3,19.2,16.0,0.566,27.2,1.4,1.5,3.0,0.064,2.5,-1.4,1.1,1.7,4861208,2218.0
Tobias Harris,PF,27.0,PHI,72.0,72.0,34.3,0.471,0.367,0.806,6.9,3.2,0.7,0.6,1.4,2.3,19.6,17.2,0.556,23.9,3.5,2.7,6.2,0.121,1.3,-0.5,0.8,1.8,32742000,2470.0
T.J. McConnell,PG,27.0,IND,71.0,3.0,18.7,0.516,0.294,0.833,2.7,5.0,0.8,0.2,1.4,1.0,6.5,16.5,0.54,17.5,1.7,1.7,3.3,0.121,0.1,0.4,0.5,0.8,3500000,1328.0
Royce O'Neale,SF,26.0,UTA,71.0,62.0,28.9,0.433,0.377,0.764,5.5,2.5,0.8,0.5,0.9,2.8,6.3,9.5,0.578,9.6,1.8,2.5,4.3,0.101,-1.3,2.2,0.9,1.5,1618520,2052.0
Dorian Finney-Smith,PF,26.0,DAL,71.0,68.0,29.9,0.466,0.376,0.722,5.7,1.6,0.6,0.5,1.0,2.5,9.5,12.3,0.595,12.9,3.3,1.5,4.9,0.11,0.1,-0.3,-0.2,0.9,4000000,2123.0
Brad Wanamaker,PG,30.0,BOS,71.0,1.0,19.3,0.448,0.363,0.926,2.0,2.5,0.9,0.2,1.1,1.9,6.9,12.8,0.577,15.5,1.8,1.8,3.5,0.124,-1.9,1.3,-0.6,0.5,1445697,1370.0
Tim Hardaway Jr.,SG,27.0,DAL,71.0,58.0,29.5,0.434,0.398,0.819,3.3,1.9,0.6,0.1,1.0,1.8,15.8,14.5,0.581,21.1,3.4,1.1,4.4,0.102,1.2,-1.4,-0.1,1.0,20025127,2094.0
Jordan Clarkson,SG,27.0,2TM,71.0,2.0,24.0,0.454,0.368,0.836,2.6,1.9,0.6,0.2,1.4,1.5,15.2,17.3,0.574,26.3,2.4,1.0,3.4,0.096,2.4,-1.3,1.1,1.3,13437500,1704.0
Jerami Grant,PF,25.0,DEN,71.0,24.0,26.6,0.478,0.389,0.75,3.5,1.2,0.7,0.8,0.9,2.2,12.0,14.4,0.591,18.0,2.8,1.6,4.4,0.111,0.1,-0.6,-0.5,0.7,9346153,1889.0
Ben McLemore,SF,26.0,HOU,71.0,23.0,22.8,0.444,0.4,0.746,2.2,0.8,0.6,0.2,0.7,2.2,10.1,11.8,0.622,16.0,2.2,1.1,3.3,0.099,0.1,-0.6,-0.5,0.6,2028594,1619.0
Devin Booker,SG,23.0,PHO,70.0,70.0,35.9,0.489,0.354,0.919,4.2,6.5,0.7,0.3,3.8,3.0,26.6,20.6,0.618,30.0,6.0,1.5,7.5,0.143,3.4,-1.3,2.2,2.6,27285000,2513.0
Jarrett Allen,C,21.0,BRK,70.0,64.0,26.5,0.649,0.0,0.633,9.6,1.6,0.6,1.3,1.1,2.3,11.1,20.7,0.664,14.9,5.2,2.9,8.2,0.212,1.4,1.0,2.3,2.0,2376840,1855.0
Chris Paul,PG,34.0,OKC,70.0,70.0,31.5,0.489,0.365,0.907,5.0,6.7,1.6,0.2,2.3,2.3,17.6,21.7,0.61,23.3,5.9,3.0,8.9,0.193,3.0,1.4,4.4,3.5,38506482,2205.0
Robert Covington,C,29.0,2TM,70.0,68.0,30.5,0.422,0.335,0.798,6.6,1.3,1.6,1.3,1.5,3.1,12.4,13.3,0.559,17.0,0.7,3.0,3.7,0.083,-1.2,1.3,0.0,1.1,11301219,2135.0
Shai Gilgeous-Alexander,SG,21.0,OKC,70.0,70.0,34.7,0.471,0.347,0.807,5.9,3.3,1.1,0.7,1.9,1.7,19.0,17.7,0.568,23.7,3.1,3.0,6.1,0.121,1.3,0.4,1.7,2.2,3952920,2429.0
Anfernee Simons,SG,20.0,POR,70.0,4.0,20.7,0.399,0.332,0.826,2.2,1.4,0.4,0.1,0.9,1.9,8.3,9.0,0.502,18.7,0.0,0.1,0.2,0.005,-2.6,-1.9,-4.5,-0.9,2149560,1449.0
CJ McCollum,SG,28.0,POR,70.0,70.0,36.5,0.451,0.379,0.757,4.2,4.4,0.8,0.6,1.8,2.6,22.2,17.0,0.541,25.9,3.5,0.6,4.1,0.077,2.3,-1.8,0.5,1.6,27556959,2555.0
Jonas Valančiūnas,C,27.0,MEM,70.0,70.0,26.4,0.585,0.352,0.74,11.3,1.9,0.4,1.1,1.8,2.6,14.9,22.2,0.631,21.5,4.2,2.8,7.0,0.182,2.1,0.2,2.4,2.0,16000000,1848.0
James Ennis III,SG,29.0,2TM,69.0,18.0,18.3,0.446,0.325,0.806,3.6,0.9,0.5,0.3,0.8,2.0,6.6,11.5,0.565,15.7,1.0,1.4,2.4,0.09,-2.2,-0.4,-2.6,-0.2,1882867,1263.0
Donovan Mitchell,SG,23.0,UTA,69.0,69.0,34.3,0.449,0.366,0.863,4.4,4.3,1.0,0.2,2.7,2.5,24.0,18.8,0.558,30.8,3.2,2.2,5.4,0.11,2.4,-0.6,1.9,2.3,3635760,2367.0
Troy Brown Jr.,SF,20.0,WAS,69.0,22.0,25.8,0.439,0.341,0.784,5.6,2.6,1.2,0.1,1.1,1.9,10.4,13.7,0.524,17.8,1.3,1.2,2.4,0.065,-0.8,-0.4,-1.2,0.3,3219480,1780.0
OG Anunoby,SF,22.0,TOR,69.0,68.0,29.9,0.505,0.39,0.706,5.3,1.6,1.4,0.7,1.1,2.4,10.6,13.2,0.6,14.3,2.1,3.7,5.7,0.134,-0.8,2.0,1.2,1.7,2281800,2063.0
Doug McDermott,PF,28.0,IND,69.0,0.0,19.9,0.488,0.435,0.828,2.5,1.1,0.2,0.1,0.6,1.7,10.3,14.4,0.62,19.6,2.3,1.1,3.3,0.117,1.4,-1.3,0.0,0.7,7333333,1373.0
