Player Name,Position,Age,Team,GP,GS,MP,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary,Total Minutes
Anthony Edwards,SG,19.0,MIN,72.0,55.0,32.1,0.417,0.329,0.776,4.7,2.9,1.1,0.5,2.2,1.8,19.3,13.9,0.523,27.0,-0.6,1.4,0.8,0.017,-0.4,-1.7,-2.1,-0.1,9757440,2311.0
Bojan Bogdanović,SF,31.0,UTA,72.0,72.0,30.8,0.439,0.39,0.879,3.9,1.9,0.6,0.1,1.8,1.6,17.0,14.0,0.588,22.8,2.7,2.5,5.2,0.113,0.2,-0.7,-0.4,0.9,17850000,2218.0
Georges Niang,PF,27.0,UTA,72.0,10.0,16.0,0.437,0.425,0.957,2.4,0.8,0.3,0.1,0.7,1.6,6.9,11.4,0.602,17.4,1.2,1.4,2.6,0.108,-0.4,0.1,-0.3,0.5,1783557,1152.0
RJ Barrett,SG,20.0,NYK,72.0,72.0,34.9,0.441,0.401,0.746,5.8,3.0,0.7,0.3,1.9,2.6,17.6,13.4,0.535,23.4,0.9,3.1,4.1,0.078,-0.9,-0.3,-1.2,0.5,8231760,2513.0
Duncan Robinson,SF,26.0,MIA,72.0,72.0,31.4,0.439,0.408,0.827,3.5,1.8,0.6,0.3,1.1,2.5,13.1,11.0,0.628,16.6,1.9,1.8,3.7,0.079,-0.2,-0.8,-1.0,0.6,1663861,2261.0
Mikal Bridges,SF,24.0,PHO,72.0,72.0,32.6,0.543,0.425,0.84,4.3,2.1,1.1,0.9,0.8,1.6,13.5,16.4,0.667,14.9,5.4,2.6,8.0,0.164,2.4,0.9,3.3,3.1,4161000,2347.0
Justin Holiday,SG,31.0,IND,72.0,52.0,30.3,0.413,0.382,0.788,3.6,1.7,1.0,0.6,0.8,1.9,10.5,10.4,0.571,14.0,1.4,1.8,3.1,0.069,-0.9,-0.1,-1.0,0.6,5720000,2182.0
Enes Freedom,C,28.0,POR,72.0,35.0,24.4,0.604,0.25,0.774,11.0,1.2,0.5,0.7,1.1,2.3,11.2,22.4,0.636,17.4,5.7,1.7,7.5,0.204,2.1,-1.4,0.6,1.2,5005350,1757.0
Ivica Zubac,C,23.0,LAC,72.0,33.0,22.3,0.652,0.25,0.789,7.2,1.3,0.3,0.9,1.1,2.6,9.0,19.1,0.693,15.1,4.8,2.1,6.9,0.206,0.6,0.4,1.0,1.2,7000000,1606.0
Nikola Jokić,C,25.0,DEN,72.0,72.0,34.6,0.566,0.388,0.868,10.8,8.3,1.3,0.7,3.1,2.7,26.4,31.3,0.647,29.6,12.2,3.4,15.6,0.301,9.1,3.0,12.1,8.8,29542010,2491.0
Eric Bledsoe,SG,31.0,NOP,71.0,70.0,29.7,0.421,0.341,0.687,3.4,3.8,0.8,0.3,1.6,1.6,12.2,11.5,0.533,18.5,1.1,1.3,2.3,0.053,-1.2,-0.9,-2.0,0.0,16875000,2109.0
Andrew Wiggins,PF,25.0,GSW,71.0,71.0,33.3,0.477,0.38,0.714,4.9,2.4,0.9,1.0,1.8,2.2,18.6,15.0,0.568,23.3,1.2,2.7,3.9,0.08,0.0,-0.4,-0.4,1.0,29542010,2364.0
Patrick Williams,PF,19.0,CHI,71.0,71.0,27.9,0.483,0.391,0.728,4.6,1.4,0.9,0.6,1.4,1.8,9.2,10.5,0.562,14.9,0.3,2.2,2.5,0.06,-2.8,0.4,-2.4,-0.2,7068360,1981.0
Rudy Gobert,C,28.0,UTA,71.0,71.0,30.8,0.675,0.0,0.623,13.5,1.3,0.6,2.7,1.7,2.3,14.3,23.5,0.683,17.0,6.1,5.2,11.3,0.248,2.1,2.8,4.9,3.8,27525281,2187.0
Buddy Hield,SG,28.0,SAC,71.0,71.0,34.3,0.406,0.391,0.846,4.7,3.6,0.9,0.4,1.8,2.5,16.6,12.8,0.567,20.7,1.5,0.7,2.2,0.044,1.0,-1.6,-0.6,0.9,24701834,2435.0
Royce O'Neale,SF,27.0,UTA,71.0,71.0,31.6,0.444,0.385,0.848,6.8,2.5,0.8,0.5,1.2,2.6,7.0,9.9,0.599,9.6,2.3,3.3,5.6,0.121,-1.2,2.1,1.0,1.7,8500000,2244.0
Robin Lopez,C,32.0,WAS,71.0,9.0,19.1,0.633,0.278,0.723,3.8,0.8,0.2,0.6,1.1,1.5,9.0,16.7,0.661,17.1,2.8,0.9,3.7,0.131,0.2,-1.2,-1.0,0.4,7300000,1356.0
