Player Name,Position,Age,Team,GP,GS,MP,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary,Total Minutes
Nickeil Alexander-Walker,SG,26.0,MIN,82.0,10.0,25.3,0.438,0.381,0.78,3.2,2.7,0.6,0.4,1.2,1.7,9.4,11.6,0.579,16.0,2.0,2.3,4.3,0.099,-0.8,0.4,-0.4,0.8,4312500,2075.0
Chris Paul,PG,39.0,SAS,82.0,82.0,28.0,0.427,0.377,0.924,3.6,7.4,1.3,0.3,1.6,1.8,8.8,14.7,0.58,14.0,4.2,1.6,5.7,0.12,0.3,0.5,0.8,1.6,10460000,2296.0
Jalen Green,SG,22.0,HOU,82.0,82.0,32.9,0.423,0.354,0.813,4.6,3.4,0.9,0.3,2.5,1.5,21.0,15.1,0.544,27.3,1.9,3.2,5.1,0.092,1.1,-0.5,0.5,1.7,12483048,2698.0
Jarrett Allen,C,26.0,CLE,82.0,82.0,28.0,0.706,0.0,0.718,9.7,1.9,0.9,0.9,1.2,1.5,13.5,22.1,0.724,15.9,7.6,4.0,11.6,0.243,3.0,1.2,4.2,3.6,20000000,2296.0
Malik Beasley,SG,28.0,DET,82.0,18.0,27.8,0.43,0.416,0.679,2.6,1.7,0.9,0.1,1.0,1.5,16.3,14.4,0.59,22.5,2.9,1.8,4.7,0.1,2.0,-1.2,0.8,1.6,6000000,2280.0
Julian Champagnie,SF,23.0,SAS,82.0,29.0,23.6,0.415,0.371,0.904,3.9,1.4,0.7,0.4,0.9,1.4,9.9,12.2,0.577,17.2,1.3,1.2,2.5,0.062,-0.3,-0.9,-1.3,0.4,3000000,1935.0
Bub Carrington,PG,19.0,WAS,82.0,57.0,30.0,0.401,0.339,0.812,4.2,4.4,0.7,0.3,1.7,2.3,9.8,9.0,0.514,15.8,-0.4,0.6,0.2,0.005,-3.3,-1.3,-4.6,-1.6,4454880,2460.0
Mikal Bridges,SF,28.0,NYK,82.0,82.0,37.0,0.5,0.354,0.814,3.2,3.7,0.9,0.5,1.6,1.5,17.6,14.0,0.585,19.6,3.7,2.0,5.7,0.09,0.4,-0.9,-0.5,1.2,23300000,3034.0
Buddy Hield,SG,32.0,GSW,82.0,22.0,22.7,0.417,0.37,0.828,3.2,1.6,0.8,0.3,1.1,1.6,11.1,12.3,0.56,20.5,0.6,2.2,2.8,0.073,-0.7,-0.3,-1.0,0.5,8780488,1861.0
Jaden McDaniels,PF,24.0,MIN,82.0,82.0,31.9,0.477,0.33,0.813,5.7,2.0,1.3,0.9,1.2,2.7,12.2,13.3,0.562,16.3,2.3,3.9,6.3,0.115,-1.4,1.4,0.0,1.4,23017242,2616.0
Harrison Barnes,PF,32.0,SAS,82.0,82.0,27.2,0.508,0.433,0.809,3.8,1.7,0.5,0.2,0.6,0.9,12.3,14.9,0.656,15.7,5.0,0.5,5.6,0.12,1.7,-1.7,0.0,1.2,18000000,2230.0
Tyus Jones,PG,28.0,PHO,81.0,58.0,26.8,0.448,0.414,0.895,2.4,5.3,0.9,0.1,1.1,0.8,10.2,14.5,0.585,16.2,4.0,0.3,4.4,0.096,1.4,-1.3,0.1,1.1,2087519,2171.0
Stephon Castle,SG,20.0,SAS,81.0,47.0,26.7,0.428,0.285,0.724,3.7,4.1,0.9,0.3,2.2,2.0,14.7,13.7,0.522,26.0,0.1,1.0,1.1,0.025,-1.5,-1.7,-3.2,-0.6,9131760,2163.0
Jonas Valančiūnas,C,32.0,2TM,81.0,21.0,18.8,0.55,0.216,0.879,7.7,2.0,0.5,0.6,1.5,2.2,10.4,20.8,0.602,22.8,2.6,1.7,4.3,0.137,0.8,-0.1,0.6,1.0,9900000,1523.0
Keon Ellis,SG,25.0,SAC,80.0,28.0,24.4,0.489,0.433,0.849,2.7,1.5,1.5,0.8,0.9,2.2,8.3,13.5,0.664,12.7,2.7,2.2,5.0,0.122,-0.1,2.0,1.9,1.9,2120693,1952.0
Payton Pritchard,PG,27.0,BOS,80.0,3.0,28.4,0.472,0.407,0.845,3.8,3.5,0.9,0.2,1.0,1.5,14.3,17.6,0.633,19.0,6.1,2.5,8.6,0.183,3.4,0.2,3.5,3.2,6696429,2272.0
Ivica Zubac,C,27.0,LAC,80.0,80.0,32.8,0.628,,0.661,12.6,2.7,0.7,1.1,1.6,2.1,16.8,22.3,0.641,19.5,7.0,4.7,11.7,0.215,2.3,0.8,3.1,3.4,11743210,2624.0
